Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,,,69202602-56C4-B341-B8E1-CD11584017C1
,Character,,"in DC Comics:
Shazam! #1",Feb-73,N,Dennis O'Neil,writer,Creator Recognition,,,,EA097562-9F11-DE4C-81DA-6097A96D7E2A
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover",None,,Deceased,,FC007FF6-CA00-EF41-A971-0706061DC788
Mas y Menos,Character,,"Teen Titans
""Titans East""",Jan-05,,Marv Wolfman,writer,,,,,4C0910CD-D7F6-2A4D-9B23-1923E08B9C46
,Character,,,,,Glen Murakami,producer,,,,,505FA133-8F0E-8145-8DC1-F7DA25AFDB07
,Character,,"in DC Comics:
Teen Titans #38",Sep-06,N,Geoff Johns,writer,Exclusive; WFH,,,,CCBDF3C5-3301-FA49-80F6-41653D05B995
,Character,,,,,Carlos de Fernando Ferreira Souza,pencils,WFH,,,,BBD4D9DC-9204-2D4A-9C4F-A6F989885638
,Character,,,,,Art Thibert,inks,WFH,,,,D57E4902-61A6-FD48-AB27-2D99750F37B8
,Character,,,,,Drew Geraci,inks,WFH,,,,5165C5E8-4941-A143-82B6-FDD1CD665998
,Character,,,,,Tony S. Daniel,cover,WFH,,,,8C896DBB-3E65-7643-B986-B6853B72E2BE
,Character,,,,,Tanya Horie,color,Exclusive,,,,C7CADF98-D89B-B348-A676-C69B6837679A
,Character,,,,,Richard Horie,color,Exclusive,,,,9A924F44-CC01-1F41-80E7-55E9AB5CA54A
"Master Jailer
(Carl Draper)",Character,"Supergirl 114
(2/22/2016)",Superman #331,Jan-79,Y,Martin Pasko,Writer,Exclusive,2016,,,3DCCD2CE-537F-2E49-9887-3F3896F2D9F8
,Character,,,,,Curt Swan,Pencils,Exclusive,,Deceased,,53EC05C4-F46F-F44B-88C9-97DC89FBE02A
,Character,,,,,Frank Chiaramonte,Inks,None,,"Chiaramonte does have an exclusive agreement beginning in March 1979.
Deceased",,53BFE7A0-65F3-2343-8348-150E5B7B8904
,Character,,,,,Adrienne Roy,Color,N/A,,Deceased,,53490647-92A7-B74C-9D44-1E61057AB7E3
,Character,,,,,Ross Andru,Cover Pencils,Exclusive,,,,7B5564E4-6BE8-3746-8D6B-401B99C34015
,Character,,,,,Dick Giordano,Cover Inks,Exclusive,,"Giordano was an employee of DC at this time.
Deceased",,3DB83811-A72A-6440-AA2D-C733B01B6C53
Matches Malone,Character,"Gotham 210
(11/23/2015)","Batman #242
""Bruce Wayne -- Rest in Peace""",Jun-72,N,Dennis O'Neil,writer,Creator Recognition,2012,,,E9B83D52-FCA1-D84C-BD91-10120EB690AC
,Character,,,,,"Irving ""Irv"" Novick",pencils,None,,"Novick was an employee of DC Comics from 5/9/67 - 12/28/84.
Deceased",,70A077E6-6A54-E245-84E3-9FE25B44279F
,Character,,,,,Dick Giordano,inks,N/A,,"Giordano was an employee of DC at this time.
Deceased",,E3387EF8-6735-A842-A6F7-9D7BABD432ED
,Character,,,,,Michael William Kaluta,cover,None,,,,74E5280F-B93D-E348-82B9-85A47F212B7F
"Matter-Eater Lad
(Tenzil Kem)",Character,,"Adventure Comics #303
Legion of Super-Heroes: ""The Fantastic Spy""",Dec-62,N,Jerry Siegel,writer,None,,,,BCA363D7-0C4F-3548-A652-1C129DFD7FF4
,Character,,,,,John Forte,"pencils, inks",None,,,,A12A21BF-4762-D946-9A1D-50D1487809F6
"Matthew Cable
(See also: Matthew the Raven)",Character,Swamp Thing 101,Swamp Thing #1,Oct-72,Y,Len Wein,writer,Settlement,2002,Deceased,,A9B20173-C419-9F4E-95EA-2CE990BCABCA
,Character,,,,,Berni Wrightson,"pencils, inks, cover",Settlement,2002,Deceased,,E264FCE2-8D15-4C40-8E6E-3B33EB1AA7C6
"Matthew ""Red"" Ryan",Character,,Showcase #6,Jan-57,Y,Dave Wood,co-writer,None,,Deceased,,53FA634F-6B26-E94E-A907-EEE3BCC1E65A
,Character,,,,,Jack Kirby,"co-writer, pencils, cover",None,,Deceased,,00E39338-2A4B-FB48-AAE0-985E09B24E62
,Character,,,,,Rosalind Kirby,inks,None,,Deceased,,F9E3A2D4-278D-CC4C-82EA-F4B6648621E6
"Maul
(Jeremy Stone)",Character,"Point Blank
Sleeper",WildC.A.T.S.: Covert Action Teams #1,Aug-92,N,Jim Lee,"writer, pencils, cover pencils",WildStorm Employment Agreement,,See also: WildStorm Asset Purchase Agreement,,1513364C-50EE-BE45-B544-0F6E0255440B
,Character,,,,,Brandon Choi,writer,WildStorm WFH Acknowledgement,,,,23B28CFA-F327-544A-B37A-58C042989320
,Character,,,,,Scott Williams,"inks, cover inks",WildStorm WFH Acknowledgement,,,,1AEB25EA-8115-0547-9000-D82CEEC9B43C
,Character,,,,,Joe Rosas,color,N/A,,,,B5A05E89-EC15-6147-8142-6A2FBE26A2AD
Max Mencken ,Character,Superman and Lois 101,"“It's a Bird, It's a Plane, It's Superman” Broadway musical",1966,,,,,,,Cleared for verbal reference only for one episode.,5363ED6F-6FD2-EC43-BA24-D2C0716113D4
Maxima,Character,"Supergirl 119
(4/11/2016)",Action Comics #645,Sep-89,Y,Roger Stern,writer,WFH,1991,,,ED01E388-161E-B545-84DC-E3C6AC7CA87E
,Character,,,,,George Perez,"writer, pencils, cover",WFH,1991,,,9AFA471F-C3DB-1149-A990-6CF10DEA767E
,Character,,,,,Brett Breeding,inks,WFH,,,,A08586A5-B0F3-5D4D-B768-F18041899F5B
,Character,,,,,Glenn Whitmore,color,N/A,,,,EED99A83-8530-F748-AA26-4D038B013FD2
"Maximillian Zeus
(Maxie Zeus)",Character,"Gotham 219
(4/25/2016)","Detective Comics #483
""The Curse of Crime Alley""",Apr-79,N,Denny O'Neil,writer,Exclusive; Creator Recognition,"1993
2012",,,EB12C150-850C-4941-BFFD-18FE09EB98D0
,Character,,,,,Don Newton,pencils,None,1993,Deceased,,AEAB2A7A-F976-FF44-88D3-8F1153DDC439
,Character,,,,,Dan Adkins,inks,None,,Deceased,,0FBA6099-F20E-E645-B3E7-DDADAE339C05
,Character,,,,,Jose Luis Garcia-Lopez,cover,None,,,,CB9EE73A-007B-924B-B041-CEE86E24C9DB
,Character,,,,,Adrienne Roy,color,N/A,,Deceased,,52B4E00C-B159-F242-AC93-7871051C31E7
Maxwell Lord,Character,"Supergirl 102
(11/2/2015)",Justice League #1,May-87,N,John Marc DeMatteis,script,WFH,2004,,,8B39E929-0785-D745-BAA8-A968A2C3C807
,Character,,,,,Keith Giffen,writer,WFH,2004,,,8F615C3F-4BD9-7E49-AE41-23EF7D9B5E46
,Character,,,,,Kevin Maguire,"pencils, cover pencils",WFH,,,,0957A6ED-CD7D-8A45-9C59-521FA99B0CD8
,Character,,,,,Terry Austin,"inks, cover inks",WFH,,,,61696337-7A04-4D49-96A0-EC28A971B076
,Character,,,,,Gene D'Angelo,color,N/A,,,,8B2CD131-7DD1-924B-862F-94468258BD9D
Mayor Brook,Character,,"Adventure Comics #250
Superboy: ""The Imposter from the Year 2958"" ",Jul-58,N,Bill Finger,writer,Creator Recognition,,,,9E94E89B-2B15-DF4D-B811-6B81DA66F530
,Character,,,,,John Sikela,"pencils, inks",None,,,,2CBA1112-9F99-9542-8531-B3805861AB31
"Mazahs!
(Alexander Luthor)",Character,,Justice League of America vol 2  #23,Oct-13,N,Geoff Johns,writer,WFH,,,,8CAA089F-8C23-0C41-9FF4-4D9F990CAF3B
,Character,,,,,Ivan Reis,pencils,WFH,,,,D860868E-CC10-9B4B-9438-816E1CBCEFAA
,Character,,,,,Joe Prado,inks,WFH,,,,7A70AA49-C373-7F4F-81E3-824F82367026
,Character,,,,,Eber Ferreira,inks,WFH,,,,288FEE98-2136-5F48-85F2-C7235FDFAFD5
,Character,,,,,Oclair Albert,inks,WFH,,,,7AAB0C38-851F-BF44-A79B-5AF2AFA8A7D3
"Mazing Man
(Siegfried Horatio Hunch III)",Character,,Mazing Man #1,Jan-86,Y,Bob Rozakis,writer,Writer,1984,,,1F2CE4ED-7601-D845-83F6-48006B5A0A2D
,Character,,,,,Stephen DeStefano,"pencils, cover pencils",Artist,1984,,,59E980B6-BB17-1344-826A-5BB17F8B60BE
,Character,,,,,Karl Kesel,"inks, cover inks",Artist,,,,C17A435F-089A-9745-9EA9-6787C5A36D50
M'Changa,Location,Legends 302,"As Vixen's home country (changed to Zambesi in 1987):
Justice League of America #234",Jan-85,N,Gerry Conway,writer,Exclusive,,,,FCE1FCA8-0EE1-6144-9DE0-25679382572F
,Location,,,,,Chuck Patton,"pencils, cover pencils",Exclusive,,,,D3B61E03-4E4D-894F-B5FC-5B43D6331533
,Location,,,,,Bill Anderson,inks,None,,,,48EC009B-B5AA-1B4D-B6ED-AB48CFFBC611
,Location,,,,,Dick Giordano,cover inks,None,,"Giordano may have been an employee of DC at this time.
Deceased",,FF261496-611A-C241-9A48-379D9678890D
,Location,,,,,Gene D'Angelo,color,N/A,,,,DDDD6EC5-7BEC-8347-BF56-C96F5813C88F
,Location,,"As a province of Zambesi:
Vixen Animated Series 102",Sep-15,N,Wendy Mericle; Keto Shimizu; Brian Ford Sullivan; Lauren Certo,writers,,,,,63EFF49C-789A-D244-ACAF-FCABEBA483EA
"Meena Dhawan
(Negative Flash, Fast Track, Doctor Dhawan)",Character,,The Flash vol 5 #1,Sep-16,N,Joshua Williamson,writer,WFH,,,,D09698AD-C5C3-F745-A3DD-47AE0133F739
,Character,,,,,Carmine Di Giandomenico,"pencils, inks",WFH,,,,C1968E36-DD5E-D94A-8695-1DDE86DB6AC0
"Melting Point
(Dr. Wangari Hollowell)",Character,Flash 416,Flash: Season Zero #12,Nov-15,N,Sterling Gates,writer,WFH,2017,"This comic was originally published in digital format; all vouchers are for digital issue #24, which is print issue #12",,3A93B4DC-205F-294F-A5FC-C5F588423674
,Character,,,,,Ibrahim Moustafa,"pencils, inks",WFH,2017,,,74BD6FFE-17D4-DF4F-96BB-0430B7623FBE
,Character,,,,,Philip Hester,pencils,WFH,,,,BB275672-306C-B541-9DD7-D474D8032EC0
,Character,,,,,Eric Gapstur,inks,WFH,,,,E62EC1F5-4487-FF4B-937D-C79261D90855
,Character,,,,,Nicholas Filardi,color,WFH,,,,8901F8E4-1BF1-2440-987F-2866DE44C753
"Menagerie
(Pamela)",Character,Supergirl 412,Action Comics #775,Mar-01,N,Joe Kelly,writer,Continuity Writer,,,,FA7F4E7D-B32F-8C48-B994-25485380EBF1
,Character,,,,,Doug Mahnke,pencils,Continuity Artist; WFH,,,,F8DE3A33-2C0D-F64E-B696-12DBC4C23606
,Character,,,,,Lee Bermejo,pencils,None,,,,60ECBF8C-A63A-824B-93AC-E508C4E50018
,Character,,,,,Tom Nguyen,inks,WFH,,,,5796D78C-9EDC-2040-9B8A-AB9E4C0B4E4C
,Character,,,,,Dexter Vines,inks,WFH,,,,63325527-437F-4743-B84B-E18ABA41EA82
,Character,,,,,Jim Royal,inks,None,,,,30232440-94D7-FE4E-BC19-C461DFD97102
,Character,,,,,Jose Marzan,inks,WFH,,,,1B265E51-A078-3549-9B6B-592B9C19CBDC
,Character,,,,,Wade von Grawbadger,inks,WFH,,,,488D0C77-98C5-7042-81FD-159C4A6E04D8
,Character,,,,,Wayne Faucher,inks,WFH,,,,D38DE801-4668-894D-94B0-AA2EBAD537AA
,Character,,,,,Tim Bradstreet,cover,WFH,,,,B9822BF7-2F5C-A84A-909A-B6F9B3330903
,Character,,,,,Rob Schwager,color,N/A,,,,BD69D19D-4785-7D40-B960-8358FD98AB8E
"Menagerie
(Sonja)",Character,,JLA #100,Aug-04,Y,Joe Kelly,writer,WFH,,,,067149AC-1482-7047-9951-A056911E771A
,Character,,,,,Doug Mahnke,"pencils, cover pencils",WFH,,,,BE21DC3A-78C0-0243-8940-5F47EEF12503
,Character,,,,,Tom Nguyen,"inks, cover inks",WFH,,,,D786545B-58E2-6D4E-97A8-5CFE000301E0
,Character,,,,,David Baron,color,Exclusive,,,,1C8C8188-4B28-9F4A-BD50-EF97190CF4A2
"Menagerie
(team comprised of Weasel, Lion-Mane, Elephant Man, Zebra-Man, Primape, Hellhound, Mauschen)",Property,,Forever Evil: A.R.G.U.S. #5,Apr-14,N,Sterling Gates,writer,WFH,,,,8BB9019A-1AE8-2D44-96B7-DFD9BB4A0318
,Property,,,,,Neil Edwards,pencils,WFH,,,,28F95F48-4DB3-BD40-95C2-B3E26B711AB3
,Property,,,,,Jason Paz,inks,WFH,,,,FF316D7E-007D-C64B-B3DB-3D0265EBCA08
,Property,,,,,Jay Leisten,inks,WFH,,,,5C29835E-805E-404F-9738-C60F9D0935D4
,Property,,,,,Jeremy Roberts,cover,WFH,,,,1B7E3B00-5A41-0344-A42E-5280939CF08E
,Property,,,,,Nathan Eyring,color,N/A,,,,7BD2016A-B543-9E42-876D-5583910966A6
Menalippe,Character,"Wonder Woman
(2017)",Wonder Woman #1,Feb-87,N,Greg Potter,writer,WFH,,,,3A0A9084-B5CD-A04B-96E9-6FC84AEA3C10
,Character,,,,,George Perez,"plot, pencils, cover",Continuity,,,,931D83ED-59C8-EF48-BA2A-2ED7A04A1E78
,Character,,,,,Bruce Patterson,inks,WFH,,,,B2A78804-314E-794B-9EFA-89838043DBCC
,Character,,,,,Tatjana Wood,color,N/A,,,,E85034C5-889B-8A48-ABAA-5817F6A716E5
"Mento
(Steve Dayton)",Character,,Doom Patrol #91,Nov-64,Y,Arnold Drake,writer,,2006,Deceased,,7BC79E31-3130-C84F-809F-75351F85824C
,Character,,,,,Bruno Premiani,"pencils, inks",None,,,,0D4DE8B6-B0EE-0A48-8A59-1FE0CEDA67B4
,Character,,,,,Bob Brown,cover,None,,,,4E56098C-DEBE-CD43-81B4-3B77513623CA
Mera,Character,,Aquaman #11,Sep-63,N,Jack Miller,writer,N/A,,Miller was an employee of DC at this time.,,8B9E6BDE-107A-7541-A879-27DBAB35ED59
,Character,,,,,"Nicholas Viscardi
(Nick Cardy)","pencils, inks, cover",None,,Deceased,,E56F41EC-D86A-8545-BBB9-1C09FF9DE70A
Mercury,Character,,Showcase #37,Mar-62,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 through 5/31/82.
Deceased",,2200A1AD-F6CC-9B4E-87FF-9FE734A38B30
,Character,,,,,Ross Andru,"pencils, cover pencils",None,,Deceased,,56ECD2A3-4610-3844-923F-150315E332C9
,Character,,,,,Mike Esposito,"inks, cover inks",None,,Deceased,,095F661B-B08C-D34D-A83D-EE321B9DC8C2
Mercy Graves,Character,Supergirl 402,"Superman: The Animated Series
""A Little Piece of Home""",Sep-96,,Hilary J. Bader,writer,,,,,F39B1C52-F878-9E4A-86E2-046222686A67
,Character,,"First Comic Appearance:
Detective Comics #735",Aug-99,N,Greg Rucka,writer,WFH,,,,5B4239EE-C53A-1E4F-946B-DA43EA192E83
,Character,,,,,Dan Jurgens,pencils,WFH,,,,136C0631-C545-F84A-AE36-7DC4DE132AF9
,Character,,,,,Bill Sienkiewicz,inks,WFH,,,,437C098F-555E-6445-8C4D-C6D6111B7C13
,Character,,,,,Glen Orbik,cover painting,WFH,,,,C177327B-76C0-9449-B700-CC26D47164D0
,Character,,,,,Laurel Blechman,cover painting,WFH,,,,8F8F7EA1-A637-7849-971B-4F1EA286E916
,Character,,,,,Noelle Giddings,color,N/A,,,,4B5C9C20-BB12-6C48-8598-53507B4664A2
,Character,,,,,Wildstorm,color,N/A,,,,70316334-9076-8F48-90F8-2C71973A2134
"Merlin
(Golden Age)",Character,,"New Comics #3
""King Arthur""",Feb-36,N,Rafael Astarita,"writer, pencils, inks",None,,,,826C6773-13EE-F74C-8D60-32E70B6CBCF0
,Character,,,,,Vincent A. Sullivan,cover,None,,,,CEA57300-CB15-C640-A92E-A8F2701B24C2
"Merlin
(Silver Age)",Character,Dark Universe,The Demon #1,Aug-72,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,,Deceased,,080F12A6-6669-2F43-9128-170BFA23ABC7
,Character,,,,,Michael Royer,"inks, cover inks",None,,,,D2F1AF13-3A2F-314C-B7EF-96A5FF5C9817
Merlyn,Character,,"Justice League of America #94
""Where Strikes Demonfang?""",Nov-71,N,Mike Friedrich,writer,None,2016,,,C11F932B-BEB1-4E47-8C55-C2CC49B29E41
,Character,,,,,Neal Adams,"pencils, inks, cover",Creator Recognition,,Amendment to creator recognition to grant equity for this character has been sent.,,1B750D01-8F56-7843-BE9D-AE03FF2CE448
,Character,,,,,Dick Dillin,pencils,None,,Deceased,,ADA29FB4-D025-6047-ABB6-783B543B7414
,Character,,,,,Joe Giella,inks,None,,,,4DCE1C5A-FFE2-174D-9B65-4A4577F84C59
"Merry, Girl of 1000 Gimmicks
(Meredith ""Merry"" Creamer Pemberton; Gimmick Girl)",Character,Stargirl 101,"Star-Spangled Comics #81
""The Human Fly!""",Jun-48,N,Otto Binder,writer,None,,Deceased,,495862FC-A9C9-5E49-BE18-29CC11D303E4
,Character,,,,,"James Winslow ""Win"" Mortimer","pencils, inks, cover",None,,Deceased,,016C5202-634E-184E-83BB-122F752B7746
Metal Men,Property,,Showcase #37,Mar-62,Y,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC from 2/3/47 through 5/31/82.
Deceased",,250F75D8-A3A8-F74E-8188-D6A90588F437
,Property,,,,,Ross Andru,"pencils, cover pencils",None,,Deceased,,7525750F-57D1-B641-8BEC-F99C48FD2922
,Property,,,,,Mike Esposito,"inks, cover inks",None,,Deceased,,BA81AACB-15A6-A248-99E3-F2ABC6A7B54A
"Metallo
(John Corben)",Character,,"Action Comics #252
""The Menace of Metallo""",May-59,N,Robert Bernstein,writer,None,,Deceased,,BD86D412-70DC-7C4A-86B0-EFAEEC2C542F
,Character,,,,,Al Plastino,"pencils, inks",None,,Deceased,,4C649FF1-82E3-BB4A-A2C7-99996FB29173
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,6035F278-7737-0940-8454-C79D67268B0A
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,AF7373CA-DFDE-AA4D-9AF7-943AC667812F
,Character,,"Post-Crisis:
Superman #1",Jan-87,Y,John Byrne,"writer, pencils, cover",WFH,,,,09C3921C-4315-A041-8415-3C12A38CC522
,Character,,,,,Terry Austin,inks,WFH,,,,47260913-F60E-DC4B-A80D-C7F5D582C79C
,Character,,,,,Thomas Ziuko,color,N/A,,,,14DFC4BA-1EF7-DC42-8A9C-2DFA3782D335
"Metamorpho
(Rex Mason)",Character,,The Brave and the Bold #57,Dec-64,Y,Bob Haney,writer,Contributor Recognition,,Deceased Contributor recognition agreement is with heirs.,,A4284410-D618-B743-8361-BA22A41EF1E1
,Character,,,,,Ramona Fradon,"pencils, cover pencils",Creator Recognition,2016,,,9DFD52C2-F1D3-9745-90B4-5EEEFA7E1023
,Character,,,,,Charles Paris,"inks, cover inks",None,,,,059F5280-0414-324C-9408-EC141A15578C
Metron,Character,,New Gods #1,Mar-71,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,CDCDB4EE-306F-7F42-8D62-676CC9271491
,Character,,,,,Vince Colletta,inks,None,,Deceased,,8F331A77-9C5C-F747-9513-6AF58F5AFB7F
,Character,,,,,Frank Giacoia,cover inks,None,,Deceased,,3E11FDB5-2DBE-6442-AF44-D98AF1229E27
Metropolis,Location,,"Action Comics #16
""Superman and the Numbers Racket""",Sep-39,N,"Jerome ""Jerry"" Siegel",writer,Settlement,,Deceased Settlement is with heirs.,,1C73524F-BEC8-194F-8303-DCA231575667
,Location,,,,,Joseph Shuster,pencils,Settlement,,Deceased,,83437F32-E7F4-6F4B-92B3-5983A9DFB868
,Location,,,,,Paul Cassidy,inks,None,,,,47F69299-593F-C744-952D-48A0F5B560FE
,Location,,,,,Fred Guardineer,cover,Contributor Recognition,,Deceased Contributor Recognition Agreement is with heir.,,CFDE74E1-1216-3C44-88AF-89EB0BDD407F
"Metropolis Monarchs
(Baseball team)",Property,Supergirl 301,Superman #206,Aug-04,N,Brian Azzarello,writer,WFH,,,,16D91A44-5936-D04A-A47B-56FB2BF8ACE2
,Property,,,,,Jim Lee,"pencils, cover pencils",Firewall Agreement,,,,8967D624-7EE9-9A48-BBDE-FE4CFC1C2C19
,Property,,,,,Scott Williams,"inks, cover inks",None,,,,B55E34F5-A423-724E-B7D4-9A1842CD2E36
,Property,,,,,Alex Sinclair,color,N/A,,,,EBDD6CC5-C50C-D04D-8F0F-82E7A6142C05
Midas,Character,Arrow 715,Green Arrow #3,Jan-12,N,J.T. Krul,writer,WFH,,,,A7D2D7B5-5599-4748-8EC6-90E61A006059
,Character,,,,,Dan Jurgens,layouts,WFH,,,,CF6DBB33-A654-AD4D-9720-518A11033485
,Character,,,,,George Perez,"finishes, inks",WFH,,,,BC6F6363-E6A4-E041-807D-9C71B294931D
,Character,,,,,Ray McCarthy,"finishes, inks, cover inks",WFH,,,,A5E767BC-6723-2D41-9D9F-88C639CBC35C
,Character,,,,,Howard Porter,cover pencils,WFH,,,,3D1D65D9-E9A4-6047-8E1C-C2EC0B8305B8
,Character,,,,,Tanya Horie,color,Exclusive,,,,A4E5E0F4-96EB-8842-93E3-A6ADD6CD17DE
,Character,,,,,Richard Horie,color,Exclusive,,,,DBA50ED1-8C97-3848-8FDC-5A35F73F735D
"Midnight, Mass.",Property,,"Midnight, Mass. #1",Jun-02,Y,John Rozum,"writer, creator",Sole Creator/First & Last Rights; Writer; Option,1999,,,231ABCC6-7B23-BE49-A953-6688FFBC41C4
,Property,,,,,Jesus Saiz,pencils,WFH,,,,6120E5F4-C2FF-BE44-B8EA-73DDFB21CF95
,Property,,,,,Jimmy Palmiotti,inks,WFH,,,,9A732187-B859-154C-BAFE-52D29D136532
,Property,,,,,Tomer Hanuka,cover,WFH,,,,02BAB656-C93F-6B4A-9480-7384B61C592A
,Property,,,,,Noelle Giddings,color,N/A,,,,C482348B-E237-7246-BA03-AD420B9C32AE
Midnighter,Character,,Stormwatch #4,Feb-98,Y,Warren Ellis,writer,None,,,,E9A88922-EFCF-014A-AF41-FA50AB3D5AC0
,Character,,,,,Bryan Hitch,"pencils, cover",None,,,,FAD1AFBB-2CCB-8446-9E19-E2BCF974FA81
,Character,,,,,Paul Neary,inks,None,,,,E11274D4-A31B-4D4F-8F1C-87589560C8AE
,Character,,,,,"Laura Martin
(Laura DePuy)",color,N/A,,,,63918045-FCDA-BC4D-A6D4-2905676AB14E
Mike Dugan,Character,Stargirl 101,"Infinity Inc. #11
(Newton & DeZuniga drew the frame story; Tuska & Machlan drew the pages in which Mike Dugan appears)",Feb-85,N,Roy Thomas,co-writer,Writer,,,,9D296852-3C9C-EE46-B7B2-72983E30C4AB
,Character,,,,,"Dannette ""Dann"" Thomas",co-writer,None,,"We believe that Roy Thomas entered into a separate agreement with Dann Thomas for writing services, but we do not have a copy of it.",,B51BB8F0-6F78-4846-BD3F-738C1D515D6D
,Character,,,,,Don Newton,pencils,None,,Deceased,,1AE7CAFA-2CAD-5948-BE05-23E782973716
,Character,,,,,George Tuska,pencils,None,,Deceased,,C8F14F7A-6F30-624C-B7CD-4426A5DEEEE0
,Character,,,,,Mike Machlan,inks,Artist,,,,D758605D-40F7-154D-AD56-3835853812A5
,Character,,,,,Tony DeZuniga,inks,None,,,,5AFE17CC-B992-7E4F-AAF9-178CCA8107F6
,Character,,,,,Jerry Ordway,cover,None,,,,CD791470-CFC8-2E4C-B438-28500429F4DC
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,00D0A5BD-92D9-2440-B1D5-B28FE93D475D
,Character,,,,,Anthony Tollin,color,Exclusive,,,,EA6C605D-5052-D744-82E5-E58107EABDB0
"Mikhail Arkadin
(Pozhar)",Character,Legends 104,Fury of Firestorm #62,Aug-87,Y,John Ostrander,writer,WFH,,,,5435B7B2-2B0C-D642-B054-B4BEDC06E2F6
,Character,,,,,"Joe J. Brozowski
(J.J. Birch)","pencils, cover pencils",WFH,,,,8B7F8F30-27C6-7242-871C-340ACF02EAD8
,Character,,,,,Dick Giordano,"inks, cover inks",WFH,,Deceased,,1E608081-FFB9-5E40-AE7C-52305E5E2E0C
,Character,,,,,Nansi Hoolahan,color,N/A,,,,4DDC4AC4-EDD5-FF4D-9272-F5D492CF8BB5
"Mime
(Camilla Ortin)",Character,Lego Batman,Batman #412,Oct-87,Y,Max Allan Collins,writer,WFH,,,,67D44BD6-334E-674A-BA95-38436F9C18FC
,Character,,,,,Dave Cockrum,pencils,WFH,,,,B95A08A2-E7B2-F543-ADC0-0D820A27126C
,Character,,,,,Don Heck,inks,WFH,,,,2CB620F5-D4EF-F241-924F-C6CB96339AC8
,Character,,,,,Kevin Nowlan,cover,WFH,,,,55D1230A-26E3-F443-B51B-E7B23CB93675
,Character,,,,,Adrienne Roy,color,N/A,,Deceased,,42343F73-8CC8-2648-935F-5EDF2A50B925
"Mindboggler
(Leah Wasserman)",Character,"Suicide Squad
(2016)",The Fury of Firestorm #29,Nov-84,Y,Joey Cavalieri,writer,WFH,,,,40C7A088-75F2-0F43-9799-624FB8DE277D
,Character,,,,,Rafael Kayanan,"pencils, cover pencils",WFH,,,,C311A614-951A-2741-B333-210D385263E8
,Character,,,,,"Rodolfo ""Rodin"" Rodriguez",inks,WFH,,,,06611F3E-F711-5742-9388-7480450C86A7
,Character,,,,,Dick Giordano,cover inks,WFH,,"Giordano may have been an employee of DC at this time.
Deceased",,38644199-47C0-E341-BB89-F9417285480E
,Character,,,,,Nansi Hoolihan,color,N/A,,,,EC997ADA-CD1C-EA49-A1DD-A57552B35DD3
Miracle Machine,Property,Supergirl  514,Adventure Comics #367 ,Apr-68,N,Jim Shooter,"writer, pencils",None,,,,F0A9DD08-BC92-864F-9A0A-DF0D305C8D75
,Property,,,,,Curt Swan,cover pencils,None,,,,416C2CDF-433F-6747-B23E-8C2BB7A03731
,Property,,,,,George Klein,inks,None,,,,F3BD4F29-D73E-2841-8AFC-2E6B9542969D
,Property,,,,,Sheldon Moldoff,inks,None,,Untitled & undated agreement ,,971F8842-8419-0D41-A48F-488DAE99D87C
"Mirage
(Kerry Austin)",Character,Arrow 406,Detective Comics #511,Feb-82,Y,Gerry Conway,writer,Exclusive,,Deceased,,74182E83-8CA6-E342-A08F-DAB1BBFAF244
,Character,,,,,Don Newton,pencils,Exclusive,,Deceased,,706ADCE5-EEEB-674F-B8FD-203316658E9E
,Character,,,,,Frank Chiaramonte,inks,Exclusive,,Deceased,,1DA14EC4-37B2-674C-868B-D66E35552F13
,Character,,,,,Rich Buckler,cover pencils,Exclusive,,,,2945DBF4-675A-7845-A266-C8F0E5A87C56
,Character,,,,,Dick Giordano,cover inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,CDE089E0-592E-2646-9DE4-9CEE457C89CF
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,D7107C3A-917F-5349-B663-F954F5B166C4
"Mirage
(Miriam Delgado)",Character,Arrow 406,New Titans Annual #7,1991,Y,Marv Wolfman,writer,Continuity,,,,6BB34A14-0AF0-5D45-9771-2D50945AB53B
,Character,,,,,Tom Grindberg,"pencils, cover",WFH,,,,A45B1303-55CA-BA4B-9326-F3A3D865A45E
,Character,,,,,Will Blyberg,inks,WFH,,,,847FC0E7-72C5-8844-AF7A-189C221D9949
,Character,,,,,Ian Akin,inks,WFH,,,,16B081E3-1201-1A40-A479-5B48C70CF624
,Character,,,,,Al Vey,inks,WFH,,,,CD8E5A9B-E855-C244-BA67-09CF0D2100B4
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,16825772-357B-F242-BF76-F5758998F78A
